"","plain","gaus0.5","gaus1.0","gaus1.5","fgsm0.15","fgsm0.3","fgsm0.5","fgsm0.7"
"1",98.4,97.43,75.26,44.4,95.07,86.77,59.39,24.23
"2",98.57,96.78,73.36,43.49,95.64,88.85,67.59,35.93
"3",98.5,96.81,71.14,43.11,94.9,85.53,53.36,18.2
"4",98.31,97.69,80.47,47.16,95.11,88.54,67.11,30.19
"5",98.59,96.99,64.84,38.19,95.29,88.2,68.72,36.09
"6",98.59,97.7,75.24,46.72,94.88,84.69,49.1,12.26
"7",98.41,97.51,76.94,47.8,94.89,86.28,59.04,22.99
"8",98.46,97,78.28,50.57,94.99,86.24,58.52,22.98
"9",98.42,97.25,69.73,39.13,95.42,87.68,60.2,22.46
"10",98.56,97.66,80.36,45.76,95.53,88.44,61.37,24.46
"11",98.3,96.37,70.05,39.47,94.81,86.07,58.41,21.69
"12",98.34,96.42,71.26,36.15,95.24,88.24,66.53,34.13
"13",98.6,97.91,77.73,46.78,95.59,88.36,63.88,27.98
"14",98.32,96.69,78.21,42.08,95.19,88.47,68.48,31.46
"15",98.63,97.38,79.01,49.14,94.41,84.63,51.74,15.47
"16",98.44,97.23,81.79,55.34,94.99,86.75,61.68,25.54
"17",98.53,97.2,74.33,42.38,94.9,86.26,57.26,30.1
"18",98.26,97.09,76.67,44,94.16,84.28,53.62,18.51
"19",98.55,97.27,70.62,41.97,97.37,92.23,75.3,52.16
"20",98.6,97.93,76.82,46.77,95.31,86.29,57.56,20.2
"21",98.14,97.21,82.8,51.33,94.17,84.48,57.38,28.03
"22",98.58,97.44,78.62,46.08,95.14,85.85,57.64,19.49
"23",98.42,97.47,69.23,36.32,95.03,85.94,56.32,18.45
"24",98.19,96.34,77.56,46.18,95.38,88.34,68.1,33.34
